TCID,Summary,Action,types,Expected Results,Actual Result,Status,Priority,Requirement Traceability,Bug Traceability
83,verify Green Screen with choose scences and add Enhance,"1-Open the Facebook mobileapplication
2-click on ""Create story""
3-click on ""Green Screen""
4-choose Scenses
5-choose first option
6-click Done button
7-click on Green circle
8-can Move image smozlly
9-click on Enhance icon
10-move image and text on preparation shared screen
11-click share",Manual,"the moves(enhance)saved
and shard","the moves(enhance)saved
and shard",,,"FR2:2.4	  check user can add Green story",
84,verify saved Green Screen with Camera roll ,"1-Open the Facebook mobileapplication
2-click on ""Create story""
3-click on ""Green Screen""
4-choose Camera roll
5-choose first option
6-click Done button
7-click on Green circle
8-can Move image smozlly
9-click Saved icon
9-click Share",Manual,"the image shard with last
possitiod done and saved in mobile","the image shard with last
possitiod done and saved in mobile",,,"FR2:2.4	  check user can add Green story",
85,verify Privacy options with Green screen and with Camera roll ,"1-Open the Facebook mobileapplication
2-click on ""Create story""
3-click on ""Green Screen""
4-choose Camera roll
5-choose first option
6-click Done button
7-click on Green circle
8-can Move image smozlly
9-click Privacy option icon
10-choose public
11-click Share",Manual,"the image shard with last
possitiod done with public privacy","the image shard with last
possitiod done with public privacy",,,"FR2:2.4	  check user can add Green story",
86,verify Green Screen with choose Camera roll  and add music,"1-Open the Facebook mobileapplication
2-click on ""Create story""
3-click on ""Green Screen""
4-choose  Camera roll
5-choose first option
6-click Done button
7-click on Green circle
8-can Move image smozlly
9-click on Music icon
10-choose song",Manual,"the image shard with last
possitiod done with music that added","the image shard with last
possitiod done with music that added",,,"FR2:2.4	  check user can add Green story",
87,verify Green Screen with choose Camera roll  and add stickers,"1-Open the Facebook mobileapplication
2-click on ""Create story""
3-click on ""Green Screen""
4-choose Camera roll
5-choose first option
6-click Done button
7-click on Green circle
8-can Move image smozlly
9-click on Stickers icon
10-choose Sticker
11-click share",Manual,"the image shard with last
possitiod done with sticker that added","the image shard with last
possitiod done with sticker that added",,,"FR2:2.4	  check user can add Green story",
88,verify Green Screen with choose Camera roll  and add text,"1-Open the Facebook mobileapplication
2-click on ""Create story""
3-click on ""Green Screen""
4-choose Camera roll
5-choose first option
6-click Done button
7-click on Green circle
8-can Move image smozlly
9-click on Text icon
10-write""Ramadan Karim""
11-click share",Manual,"the image shard with last
possitiod done with Text that added","the image shard with last
possitiod done with Text that added",,,"FR2:2.4	  check user can add Green story",
89,verify Green Screen with choose Camera roll  and add Draw,"1-Open the Facebook mobileapplication
2-click on ""Create story""
3-click on ""Green Screen""
4-choose Camera roll
5-choose first option
6-click Done button
7-click on Green circle
8-can Move image smozlly
9-click on add Draw icon
10-draw wave lines
11-click share",Manual,"the image shard with last
possitiod done with wave draw that added","the image shard with last
possitiod done with wave draw that added",,,"FR2:2.4	  check user can add Green story",
90,verify Green Screen with choose Camera roll and add Effects,"1-Open the Facebook mobileapplication
2-click on ""Create story""
3-click on ""Green Screen""
4-choose camera roll
5-choose first option
6-click Done button
7-click on Green circle
8-can Move image smozlly
9-click on add Effects icon
10-choose effect
11-click share",Manual,"the image shard with last
possitiod done with effect that added","the image shard with last
possitiod done with effect that added",,,"FR2:2.4	  check user can add Green story",
91,verify Green Screen with choose Camera roll  and add tag people,"1-Open the Facebook mobileapplication
2-click on ""Create story""
3-click on ""Green Screen""
4-choose Camera roll
5-choose first option
6-click Done button
7-click on Green circle
8-can Move image smozlly
9-click on add Tag People icon
10-choose friend
11-click Done
12-click share",Manual,"the image shard with last
possitiod done with appear name of friend that added","the image shard with last
possitiod done with appear name of friend that added",,,"FR2:2.4	  check user can add Green story",
92,verify Green Screen with choose Camera roll  and add Enhance,"1-Open the Facebook mobileapplication
2-click on ""Create story""
3-click on ""Green Screen""
4-choose Camera roll
5-choose first option
6-click Done button
7-click on Green circle
8-can Move image smozlly
9-click on Enhance icon
10-move image and text on preparation shared screen
11-click share",Manual,"the moves(enhance)saved
and shard","the moves(enhance)saved
and shard",,,"FR2:2.4	  check user can add Green story",
